Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Clayton Thorson,Northwestern,QB,76,222,9.75,31.13,,9.99,,,,9.99,9.99,
2019,Jerry Tillery,Notre Dame,DT,78,295,10.63,34.25,,4.93,23,32,115,7.45,4.33,
2019,Cole Tracy,Louisiana State,K,70,184,9.13,29.75,,9.99,,,,9.99,9.99,
2019,D'Andre Walker,Georgia,EDG,74,251,9.88,34.38,,9.99,,,,9.99,9.99,
2019,Kahale Warring,San Diego State,TE,77,252,9.75,32.75,,4.67,19,36.5,122,7.21,4.25,11.72
2019,Armon Watts,Arkansas,DT,77,300,9.63,33.38,,5.23,,,,9.99,9.99,
2019,Mike Weber,Ohio State,RB,70,211,9.38,29.75,,4.47,22,33.5,,9.99,9.99,
2019,Trevon Wesco,West Virginia,TE,75,267,9.5,34.75,,4.89,24,31,117,7.18,4.38,12.32
2019,Darius West,Kentucky,S,71,208,9.13,31.38,,4.39,19,33.5,113,9.99,9.99,
2019,Dexter Williams,Notre Dame,RB,71,212,9.63,32.25,,4.57,17,36,130,7,4.16,
2019,James Williams,Washington State,RB,69,197,9.25,30.38,,4.58,,36.5,118,7.01,4.25,12.2
2019,Trayveon Williams,Texas A&M,RB,68,206,9.25,30.38,,4.51,19,33,121,7.44,4.44,
2019,Khari Willis,Michigan State,S,71,213,9.5,31,,4.52,22,34.5,118,9.99,9.99,
2019,Caleb Wilson,UCLA,TE,76,240,9.75,33,,4.56,,29,113,7.2,4.4,12.18
2019,Donovan Wilson,Texas A&M,S,72,199,9.75,33.38,,9.99,18,36,127,9.99,9.99,
2019,Andrew Wingard,Wyoming,S,72,209,8.63,30.5,,4.56,9,36.5,121,7.08,4.2,11.69
2019,Chase Winovich,Michigan,EDG,75,256,10,32.75,,4.59,18,30.5,116,6.94,4.11,
2019,Mitch Wishnowsky,Utah,P,74,218,9.25,31.25,,4.63,,32.5,117,9.99,9.99,
2019,Zedrick Woods,Mississippi,S,71,205,9.13,31.63,,4.29,19,34.5,122,7,4.15,
2019,Evan Worthington,Colorado,S,74,212,9.5,32.75,,4.63,17,33.5,121,7.07,4.37,11.88
2019,Oshane Ximines,Old Dominion (VA),EDG,75,253,9.88,33,,4.78,24,34,118,7.13,4.57,
